category	key	partner	quest_id	ja	zh
心内語(先頭200)	11318_FinishingDlgs_Index0_Text	None	11318	（素晴らしい、村人たちは皆喜んで手伝ってくれる。）	（太好了，村民们都愿意帮忙。）
心内語(先頭200)	11318_FinishingDlgs_Index1_Text	None	11318	（今回はこんなにたくさんの選択肢があるのだから、きっと王旦那様が得意なものがあるだろう？）	（这次有这么多选择，总能有一种王大哥擅长的吧？）
心内語(先頭200)	11318_FinishingDlgs_Index2_Text	None	11318	（急いで戻って彼らにこの良い知らせを伝えなければ。）	（我要赶紧回去告诉他们这些好消息。）
心内語(先頭200)	11352_FinishingDlgs_Index20_Text	小倩	11352	（これで恋人たちは結ばれたということか……）	（如此也算是有情人终成眷属了吧……）
心内語(先頭200)	11352_FinishingDlgs_Index21_Text	小倩	11352	（……しかし、私がここに居続けるのは少し余計なようだ。まずは手紙を届けに行こう！）	（……不过我继续留在这里好像有些多余了，还是先去送信吧！）
心内語(先頭200)	11353_FinishingDlgs_Index5_Text	王家の護衛	11353	（ふむ、手紙は届いた……彼らに報告に戻り、ついでに二人を見送ろう。）	（唔，信已经送到……回去告诉他们，顺便给两人送行吧。）
心内語(先頭200)	11430_OptionDlgs1_Index9_Text	蕭大翁	11430	（受け取って）ご安心ください、おじさん。必ずご子息にお届けします。	（接过）放心吧，大爷，我一定帮你把它带给你儿子。
心内語(先頭200)	11433_RequestDlgs_Index2_Text	欧陽雪	11433	（まずい、まさかこの男がこんなに大胆不敵で、姑蘇の街で欧陽荘主の悪口を言うとは……）	（糟了，没想到这人如此胆大，竟敢在姑苏城编排欧阳庄主的是非……）
心内語(先頭200)	11433_RequestDlgs_Index3_Text	欧陽雪	11433	（しかも欧陽さんがその場で目撃してしまった……）	（还被欧阳姑娘当面撞见了……）
心内語(先頭200)	11444_FinishingDlgs_Index3_Text	貧乏書生	11444	（どうも私の隣の欧陽（オウヨウ）嬢の方が美しい気がするが……）	（总觉得还是我身旁的欧阳姑娘更美一些……）
心内語(先頭200)	11448_OptionDlgs1_Index0_Text	None	11448	（神秘的な褒美？まさか……）	（神秘大奖？难道……）
心内語(先頭200)	11826_OptionDlgs1_Index6_Text	王員外	11826	（5枚でも5000銭か、これはやってみる価値がありそうだ。）	（就算只收五张也有足足五千钱了，看起来值得一做。）
心内語(先頭200)	11826_RequestDlgs_Index6_Text	王員外	11826	（江湖に出てから生計が立たず、確かに収入が支出を下回っている。話を聞いてみるべきだろうか？）	（行走江湖之后没了营生，确实有些入不敷出，是否要听听看呢？）
心内語(先頭200)	11827_OptionDlgs1_Index6_Text	王員外	11827	（5枚でも5000銭か、これはやってみる価値がありそうだ。）	（就算只收五张也有足足五千钱了，看起来值得一做。）
心内語(先頭200)	11866_OptionDlgs2_Index0_Text	None	11866	（衛大哥は猟師出身だから、彼自身に解決させた方がいいだろう。）	（卫大哥是猎户出身，还是交给他自己解决吧。）
心内語(先頭200)	11866_RequestDlgs_Index17_Text	衛霍	11866	（衛大哥が言うには、このイノシシの王は非常に手強い。彼を助けるべきか？）<R>【ヒント：助けないを選択すると、このクエストは閉じます】</>	（照卫大哥所说，这头野猪王极难对付，我要不要帮帮他呢？）<R>【提示：若选择不帮则该任务关闭】</>
心内語(先頭200)	11877_FinishingDlgs_Index12_Text	龍鼎天	11877	（この材料は高価で、三本となると学費をはるかに超える。口では聞こえが良いが、明らかに我々から金を巻き上げようとしている。）	（这材料价格昂贵，三根数目已远在学资之上，面上说得好听，分明就是要敲我们一笔。）
心内語(先頭200)	11877_FinishingDlgs_Index14_Text	衛霍	11877	（少林棍法は江湖にその名を轟かせ、俗家弟子が下山するのも困難なこと。この男が少林寺の近くで道場を開いているからには、凡庸な人物ではないだろう。）	（少林棍法独步江湖，俗家弟子想要下山更是困难，此人能够在少林左近开馆，定非庸手。）
心内語(先頭200)	11877_FinishingDlgs_Index15_Text	衛霍	11877	（衛大哥がこれほどの機会を得られるのは滅多にないことだ。たかが材料ごとき、何ほどのことがあろうか？）	（卫大哥难得有此等机会，区区一些材料又算得了什么呢？）
心内語(先頭200)	11878_FinishingDlgs_Index6_Text	龍鼎天	11878	（このろくでなしめ……）	（这混蛋……）
心内語(先頭200)	11886_RequestDlgs_Index14_Text	司馬鈴	11886	（やはり、こっそり遊びに出かけたところを見つかったのか……）	（原来是偷偷出去玩的时候被发现了啊……）
心内語(先頭200)	11886_RequestDlgs_Index16_Text	司馬鈴	11886	（屈強な男たちを簡単に片付けられるお前が、数本の青竹ごときを何だというのだ……）	（几个壮汉你都能轻易打发了，几根青竹算什么……）
心内語(先頭200)	11886_RequestDlgs_Index19_Text	司馬鈴	11886	（この小生意気な奴め、ここで私を待っていたのか……）	（这人小鬼大的家伙，原来在这里等着我呢……）
心内語(先頭200)	11886_RequestDlgs_Index2_Text	司馬鈴	11886	（なんだか怪しいことをしているような気分だな？）	（为什么有种在做怪人的感觉？）
心内語(先頭200)	11892_FinishingDlgs_Index1_Text	司馬鈴	11892	（この意気揚々とした様子は、罰を受けているようには全く見えないな……）	（这幅兴高采烈的模样一点也不像受罚啊……）
心内語(先頭200)	11892_FinishingDlgs_Index2_Text	司馬鈴	11892	（舫主は、私が鈴を甘やかしすぎていると思うだろうか……）	（舫主会不会觉得我要惯坏铃儿了呢……）
心内語(先頭200)	11893_FinishingDlgs_Index1_Text	司馬鈴	11893	（やれやれ……）	（哎……）
心内語(先頭200)	11896_OptionDlgs1_Index6_Text	司馬鈴	11896	（どうもどこかおかしい気がするが……）	（总觉得哪里有些怪怪的……）
心内語(先頭200)	11896_OptionDlgs1_Index7_Text	司馬鈴	11896	（しかし鈴妹はいつも外に出たがっていたし、彼女に付き合って一度行ってみるか。）	（不过铃儿妹妹一直很想出去看看，还是陪她去一趟吧。）
心内語(先頭200)	11897_OptionDlgs1_Index6_Text	司馬鈴	11897	（どうもどこかおかしい気がするが……）	（总觉得哪里有些怪怪的……）
心内語(先頭200)	11897_OptionDlgs1_Index7_Text	司馬鈴	11897	（しかし鈴妹はいつも外に出たがっていたし、彼女に付き合って一度行ってみるか。）	（不过铃儿妹妹一直很想出去看看，还是陪她去一趟吧。）
心内語(先頭200)	11903_FinishingDlgs_Index11_Text	司馬鈴	11903	（そんなに簡単に叶うことなどあるものか？しかし津鯉村は確かに良い場所だ。暇ができたら、虹嬢さんと一緒に鈴妹を連れて遊びに行ってみるのも良いだろう。）	（哪会有这么轻易的事呢？不过津鲤村的确是个不错的去处，待有了闲暇，不妨和虹姑娘一同陪铃儿妹妹去那里游玩一番。）
心内語(先頭200)	11921_RequestDlgs_Index10_Text	司馬鈴	11921	（青木画舫が公演を行うのも珍しいことだ。鈴児は最近、楚楚様たちとは会う機会も少なかったし、やはり見に行った方が良いだろう。）	（青木画舫举办演出也是十分难得的事情，铃儿近来和楚楚姑娘她们也是聚少离多，还是去看看比较好。）
心内語(先頭200)	11921_RequestDlgs_Index6_Text	司馬鈴	11921	（南東の海賊か……冷大哥の言う通り、数名の賊首を討ち取っても、海賊の脅威を止めることはできないのか……）	（东南海寇……正如冷大哥所说，即使击杀几名寇首，仍是无法遏止海寇之患啊……）
心内語(先頭200)	11922_RequestDlgs_Index10_Text	司馬鈴	11922	（青木画舫が公演を行うのも珍しいことだ。鈴児は最近、楚楚様たちとは会う機会も少なかったし、やはり見に行った方が良いだろう。）	（青木画舫举办演出也是十分难得的事情，铃儿近来和楚楚姑娘她们也是聚少离多，还是去看看比较好。）
心内語(先頭200)	11922_RequestDlgs_Index6_Text	司馬鈴	11922	（南東の海賊の問題は、さらに深刻になっているのか？）	（东南海寇的问题愈发严重了吗？）
心内語(先頭200)	11940_FinishingDlgs_Index1_Text	海商-趙倫	11940	（あの店の店主か……）	（是那边铺子里的掌柜……）
心内語(先頭200)	11946_OptionDlgs1_Index3_Text	樵夫	11946	（このような事態は<Y>道通師叔</>に相談すべきだろう。）	（这种事情看起来应该去找<Y>道通师叔</>。）
心内語(先頭200)	11946_RequestDlgs_Index5_Text	樵夫	11946	（千陵渡は<Y>武当山の南東</>にある渡し場らしい。交通の便が良く、確かに多くの船客が行き交う。）	（千陵渡似乎是<Y>武当山东南方</>的一处渡口，那渡口往来便利，的确有许多船客。）
心内語(先頭200)	11948_RequestDlgs_Index2_Text	道通	11948	（莫棄師兄が手伝ってくれるなら問題ないだろうか？この任務を引き受けるべきか？）	（有莫弃师兄相助应该没什么问题吧？是否要接下这个任务呢？）
心内語(先頭200)	11951_FinishingDlgs_Index13_Text	莫棄	11951	（眉をひそめる）師兄、今回は山を下りて遊びに行くわけではありません。	（皱眉）师兄，我们这次可不是下山去玩的。
心内語(先頭200)	11954_FinishingDlgs_Index11_Text	陳小二	11954	（誰も犯人を見ていないとは、犯人の武術が非常に優れているということか？）	（没有一个人看到行凶者，莫非凶手武艺极其高明？）
心内語(先頭200)	11956_FinishingDlgs_Index6_Text	孔茹	11956	（泣き声がするたびに商人が被害に遭う……そんな偶然があるだろうか？）	（每次哭声都有客商遇害……会有这么凑巧的事情吗？）
心内語(先頭200)	11958_RequestDlgs_Index0_Text	None	11958	（どうもこの件にはまだ何か問題があるような気がする。このまま休んでいいものか？）	（总觉得这件事情还有些问题，我要就这样休息吗？）
心内語(先頭200)	12002_FinishingDlgs_Index11_Text	白錦	12002	（彼も碗山の賊徒の背後に天龍幇がいることを知っているのか？）	（莫非他也知道碗山贼寇背后有天龙帮支持？）
心内語(先頭200)	12002_FinishingDlgs_Index15_Text	白錦	12002	（実際、私はいくつかのものを手当たり次第に持ち去っただけで、急いで子供たちを洛村に連れ帰ったので、山寨に何があったのかは調べていない。）	（其实我只顺手带走了几件东西，便急着将那些孩子带回洛村，的确没有探查寨中有些什么。）
心内語(先頭200)	12002_FinishingDlgs_Index28_Text	白錦	12002	（この人物は言動が奇妙だが、言っていることは理にかなっている。もし本当にこの金銀があるのなら、天龍幇の手に再び渡るべきではない。）	（这个人虽然言行古里古怪，可所言不无道理，若当真有这笔金银，怎也不该让它重新落入天龙帮手中。）
心内語(先頭200)	12002_FinishingDlgs_Index7_Text	白錦	12002	（彼女は碗山に来たことを明かすなと言っていた。やはり自分で認めるべきか。）	（她让我不要透露其来过碗山的事情，还是自己认下吧。）
心内語(先頭200)	12003_FinishingDlgs_Index15_Text	白錦	12003	（実際、私はいくつかのものを手当たり次第に持ち去っただけで、急いで子供たちを洛村に連れ帰ったので、山寨に何があったのかは調べていない。）	（其实我只顺手带走了几件东西，便急着将那些孩子带回洛村，的确没有探查寨中有些什么。）
心内語(先頭200)	12003_FinishingDlgs_Index28_Text	白錦	12003	（この人物は言動が奇妙だが、言っていることは理にかなっている。もし本当にこの金銀があるのなら、天龍幇の手に再び渡るべきではない。）	（这个人虽然言行古里古怪，可所言不无道理，若当真有这笔金银，怎也不该让它重新落入天龙帮手中。）
